# Creds till Khan @ Rollspel.nu
# https://docs.google.com/spreadsheets/d/1d_hNoDr1E8bNRr-hYgIZjtBxAUNyjgAnScpLwdC95Is/edit#gid=0
N	Plats	Uppdrag	Sidohandling	Skurk
54	Arkitektbyrå	En fiskare i hamnen har hittat en skattkista som inte borde hittats	En uppretad mobb startar kravaller som protest mot brödpriser	Dominatii med relikintresse
55	Lönnkrog	Skeppet Lusidor har anlänt till hamnen, helt tomt på besättning. Vad har hänt?	RP blir förföljda av en skuldindrivare under äventyret.	Utsända från Dimmans Män med mycket backup
56	Vingård utanför stadsmurarna	Ett antal kejserliga pegaser har rymt och måste återfinnas så fort som möjligt!	Platsen är ett hemligt lager för en smugglarliga	Bloddrickande demon
56	Orgie	Lunder från Västmark har blivit lurad för att han inte kan språket. Nu vill han ha hjälp	En militärparad går genom staden på precis fel tillfällen	Äventyrargrupp övertygade om att de gör rätt
57	Galamiddag	En kolonist i Stora Arkipelagen är anklagad för försäkringsbedrägeri efter vulkanutbrott	Inkvisitionen har häxbränning i anslutning till platsen	Riddare som gått för långt och ångrar sig
58	Smedja	En pensionerad byråkrat har tvättat pengar. Nu kommer det förflutna ikapp	RP blir akut rekryterade till en teaterföreställning	Fantatisk tempelriddare
59	Större skepp i hamnen	En karavanföreståndare misstänker att de inhyrda vakterna tänker plundra karavanen  En RP måste vittna i domstol under äventyret	Acaleorekryter med heder
60	Höghus	Floden genom staden är full med döda fiskar och luktar hemskt. Vad har hänt?	Ett lokalt gatugäng vill rekrytera RP	Malgoarhkultister som avskyr religiösa RP
61	Myntslageri	En familjeklenod har blivit kidnappad och måste diskret återföras	Det är stor kyrklig aktivitet på platsen	Någon som gått genom Skugglandet och förändrats
62	Stadsvaktens lokaler	En officer måste bevisa sig för att befordras. RP behöver fejka brott så officern kan gripa dem.	En RP har problem med sin bostad under äventyret	Seriemördare med filosofiska motiv
63	Sågverk	Ett hus skall rivas för att dra en ny gata på platsen, men ägaren vägrar flytta	Skurken har ett personligt band till platsen som ger fördelar	Gatugäng med osämja i gruppen
64	Skulptörverkstad	En smugglingstunnel under stadsmuren har upptäckts. RP behöver undersöka saken	Skurken försöker skicka en infiltratör att gå med i RP:s grupp	Smugglare utan skrupler eller samvete
65	Vinkällare	En offentlig staty av Daaks lejon har blivit sönderslagen. Gängsymboler har hittats på platsen.	RP får tag på en artefakt från det forna Colonan  Adasiska separatister från Maazenträsket
66	Badhus	En falskmyntarliga har upptäckts, men ledaren hittas inte. Spåren pekar mot en riddare	RP blir sjuka under äventyret och får feberhallucinationer	Korrupt byråkrat som försöker dölja sina spår
67	Tvättstuga	Handelsmannen Cornelius kontorsbyggnad är hemsökt, men ingen tror honom. Tror RP?	Det finns gott om plunder på platsen	Princeps högra hand på sin boss uppdrag
68	Snickeri	En äventyrargrupp har försvunnit på sitt uppdrag. Vad kan ha hänt?	Två trätande filosofer vill ha RP:s åsikter i en viktig dispyt	Inkvisitor med möjlighet att skaffa backup
69	Torgmöte	En västmarkisk adelsman har av misstag sålts som slav och måste nu räddas.	RP råkar störa ett parti Broggin med stor insats mellan farliga personer	Två kamorianer med gladiatorbakgrund
70	Teater	En skattmas har blivit mördad på jobbet och skattkistorna är försvunna. Kan RP hitta dem?	Stadsvakten har en bevakning av platsen, av annan anledning	Pyaralvisk hypnotisör
71	Opera	En kvacksalvare säljer falska reliker. Kyrkan stoppa försäljningen men folket gillar relikerna.	Äventyret börjar med att RP måste fly från platsen	Fedak trött på fördomar
72	Skrädderi	Två riddare skall ha drabba samman i en duell, men många tror det försiggår falskspel.  RP måste maskera sig eller klä ut sig för att lyckas	Alkemist med storhetsvansinne
73	Kryddträdgård	Ett barn sägs tala med Daak och ger profetior i staden för enorm publik. Är det sant?	En RP blir kidnappad av skurken som en varning till de andra	Präst i annan religion
74	Boskapsmarknad	En häst har slitit sig och ridit ner en ädlings barn. Nu kräver ädlingen att hästen avlivas.	En livmedikus behöver snabb hjälp och erbjuder sina tjänster i utbyte	Officer och inkvisitor som samarbetar
75	Cirkus	Sjukdom härjar i staden och det sägs att en förgiftad brunn är källan. Vem är skyldig?	En RP har något privat att hålla hemligt för de andra	Sabrisk präst som avskyr jargisk daaktro
76	Skeppsvarv	Personer har hittats hängda i träd flera nätter den senaste månaden. Är de lynchade?	En poet vill följa RP och skriva en hyllningsdikt	Hundflock besatta av demoner
77	Bal	En skeppsredare blir utpressad av smugglare att ha ombord deras gods.   På platsen finns en väg till Skugglandet	Bibliotekarie med förbjuden litteratur
78	Ambassad för fjärran makt	RP får ett paket via bud, en bok på ett språk de inte kan. Vem skulle det till egentligen?	RP måste förfölja någon över ett långt avstånd	Galen uppfinnare
79	Hemlig bostad	Ett antal ungdomar har på fyllan råkat kidnappa en officer. Nu har de panik. Vad ska de göra?	En av RP fyller år	Osalig ande med oavslutade affärer
80	Bageri	Någon skickar falska order i Kejsarens namn. Korruption i hovet?	En mystisk man i mörk kåpa erbjuder RP uppdraget på en skum bar	Exorcist från inkvisitionen
81	Fiskebåt	En kontroversiell modeskapare behöver beskydd från kyrkans män på sin visning.	En av RP:s kontakter är inblandad i handlingen	En riktigt feg tirak
82	Gillestuga	En ädling anklagas för kätteri av inkvisitionen, men är oskyldig. RP måste fixa bevis snabbt!	En av RP:s kontakter behöver akut hjälp med ett orelaterat ärende	En historiker som vet något revolutionerande
83	Ruckel i slumkvarteren	En antimonit sitter i fängelse och måste fritas innan avrättning	RP måste lämna staden för att lyckas med uppdraget	Advokat med stort lagkunnande
84	Vakttorn	En tjuv rekryterar RP för att råna en skattkammare, men allt går inte som planerat...	Legion XL misstar en RP för en desertör	Stridskonstkunnig samorimunk
85	Logement	En skeppsbyggare har en ny design, men är rädd att konkurrenterna skall stjäla den	Skurkens hantlangare kan tänka sig att förråda skurken	Hänsynslös handelsman
86	Vapenkasern	Brottningsstjärnan Auda Järnnäve åker dit för fusk och måste skyddas från sina fans.	RP:s utrustning går sönder eller måste skötas om under äventyret	Kolonist som vill behålla status
87	Soppkök i kyrkans regi	Folk mördas rituellt och deras hjärtan säljs till en ond magiker.	En provinshärskare är på besök och stöter på RP   Lögnare som inte vill bli avslöjad
88	Bostadsområde för medelklass	En stor mörkerhund kontrolleras av en artefakt. Artefakten råkar hamna i ett barns händer.	Skurken vill sluta ett avtal med rollpersonerna om det går	Avslöjad bedragare som vill hämnas
89	Stenbrott	RP blir vittnen till ett mord och måste upp i domstol för att vittna, men mördarens vänner hotar dem.	Skurken har en personlig koppling till platsen	Shaman med hjälp av djur
90	Slavhandlare	En ädling har köpt en tomt där det redan bor folk. Kan RP tvinga bort dem?	Platsen har en direkt koppling till någon RP:s bakgrund	Skräckinjagande gorgon
91	Pappersbruk	En rik turist anlitar RP till att visa stadens viktigaste, förnämsta och mest dekadenta delar	RP måste delta i en kyrklig ceremoni för ett daakiskt helgon	Sorgedrickaren, fruktad demon
92	Djurpark	Massmördaren Ursus har flytt ur fängelset och måste infångas så fort som möjligt	En historiker är övertygad om att en av RP är en reinkarnation	Spöke knuten till platsen
93	Karavanläger utanför murarna	Något RP äger visar sig vara ytterst värdefullt. Både köpare och tjuvar vill ha det	Platsen är starkt magnetisk och försvårar för rustning och metallvapen	Missla med koppling till undre världen
94	Hus i misslestorlek	En gammal, galen tiggare har dödat två personer som påstås vara demoner. Är det sant?	Förnedrande klotter av RP sprids i staden	Zhanisk giftmästare
95	Hemlig Muarakhelgedom	RP får uppdrag att skydda platsen, men blir erbjudna en enorm summa för att släppa in tjuvar.	Ett kejserligt dekret förbjuder hästar i staden i en månad	Förolämpad dvärg
96	Arméns rekryteringskontor	En ung ädling har blivit kär i en gatustrykare. Ädlingens föräldrar vill att RP löser problemet.	En annan äventyrsgrupp har ett annat uppdrag, också knutet till platsen	Kamoriansk hamnskiftare
97	Glasblåseri	En ädling vill åt en lukrativ post i byråkratin och anlitar RP för att få bort nuvarande byråkrat.	Bagarnas skrå har problem med importprodukter, kan RP hjälpa till?	Skrupelfri fältskär som gillar blod
98	Grotta	En rik ädling vill bygga ett menageri i sitt nya palats och anlitar RP att hitta monster och djur	En känd, ömtålig skulptur finns på platsen	Genuint galen mördare
99	Barbersalong	En karavanföreståndare behöver få ut något från staden utan att det passerar tullen	Skurken har ett stort antal slavar som hjälper till	Gängledare med kumpaner
100	RP:s hem	En ambassadör från Mûhad är ersatt av en dubbelgångare på ett diplomatimöte	Termiter attackerar ett av RP:s hem	Pensionerad kejserlig livvakt
